id,title,user_question,best_answer,tags,replies,created_at,llm_answer,summary_question
29495,【待评审】支持NPU及其HBM标准redfish资源新增属性 2,,,,[],2026-05-07T03:12:26.815Z,,
29494,【待评审】redfish Thermal资源新增Action和属性50,,,,[],2026-05-07T03:11:36.117Z,,
29493,【待评审】新增资源协作接口及redfish接口，支持查询及配置内存故障预测规则 11,,,,[],2026-05-07T02:18:44.278Z,,
29489,【待评审】新增资源协作接口及redfish接口，支持查询及配置内存故障预测规则 10,,,,[],2026-05-06T09:16:23.745Z,,
29464,【待评审】新增资源协作接口及redfish接口，支持查询及配置内存故障预测规则 4,,,,[],2026-04-28T13:05:44.324Z,,
29463,【待评审】新增资源协作接口及redfish接口，支持查询及配置内存故障预测规则 3,,,,[],2026-04-28T12:52:45.466Z,,
29462,【待评审】新增资源协作接口及redfish接口，支持查询及配置内存故障预测规则 2,,,,[],2026-04-28T10:51:26.844Z,,
29461,【待评审】新增资源协作接口及redfish接口，支持查询及配置内存故障预测规则,,,,[],2026-04-28T03:51:48.568Z,,
29449,【待评审】支持EthernetInterface资源新增IPv4StaticAddresses,,,方案评审,[],2026-04-25T10:15:03.715Z,,
29375,【待评审】redfish Thermal资源新增Action和属性30,,,,[],2026-04-16T03:24:59.071Z,,
29374,UpdateService 资源新增 MultipartHttp 方式 21,,,,[],2026-04-16T03:24:11.913Z,,
29378,【待评审】新增redfish接口查询和设置DPU卡是否独立控制电源状态2,,,,[],2026-04-16T06:58:27.700Z,,
29399,【待评审】redfish Thermal资源新增Action和属性40,,,,[],2026-04-20T09:05:10.095Z,,
29419,【待评审】支持Chassis资源新增Location相关属性,,,方案评审,[],2026-04-22T03:59:37.026Z,,
29418,【待评审】支持Processor资源新增ProtectedIdentificationNumber,,,方案评审,[],2026-04-22T03:59:35.323Z,,
29417,【待评审】支持Memory资源新增Model属性,,,方案评审,[],2026-04-22T03:59:33.808Z,,
29424,【待评审】支持PortMetrics资源新增Transceivers相关属性,,,方案评审,[],2026-04-22T04:29:47.230Z,,
29423,【待评审】支持NPU及其HBM标准redfish资源新增属性,,,方案评审,[],2026-04-22T04:29:45.679Z,,
29422,【待评审】支持Drive资源新增PhysicalLocation属性,,,方案评审,[],2026-04-22T04:29:44.015Z,,
29421,【待评审】支持Port资源新增SFP和Status相关属性,,,方案评审,[],2026-04-22T04:29:42.524Z,,
29420,【待评审】支持SoftwareInventory资源新增属性WriteProtected,,,方案评审,[],2026-04-22T04:29:41.029Z,,
29426,【待评审】支持Role资源相关属性内容变更,,,方案评审,[],2026-04-22T04:59:52.798Z,,
29430,【待评审】支持Fans相关资源适配,,,,[],2026-04-22T05:30:04.206Z,,
